t,qx,qy,px,py,H
1.317,0.9492741956361259,-1.0482740583928356,-0.7643243492025081,-0.6921409301177408,10.195962408278481
1.318,0.9485068962644262,-1.048968382621147,-0.7702752251932944,-0.6965046565958761,10.199093793757472
1.319,0.9477336435227472,-1.0496670619463575,-0.7762310901387723,-0.7008511040717481,10.202245534380499
1.32,0.9469544324193107,-1.0503700790299682,-0.7821919495774708,-0.7051801535884715,10.205417564969368
1.321,0.9461692579571239,-1.051077416414636,-0.788157808399665,-0.7094916864167913,10.208609819809093
1.322,0.9453781151346297,-1.0517890565244037,-0.7941286708442131,-0.7137855840579874,10.211822232647101
1.323,0.9445809989463593,-1.0525049816649317,-0.8001045404954078,-0.7180617282467835,10.215054736692489
1.324,0.9437779043835871,-1.0532251740237342,-0.8060854202798868,-0.7223200009542984,10.218307264615264
1.325,0.9429688264349925,-1.053949615670414,-0.8120713124635501,-0.7265602843909968,10.221579748545585
1.326,0.942153760087319,-1.0546782885569073,-0.8180622186485423,-0.7307824610096844,10.224872120073051
1.327,0.9413327003260424,-1.055411174517724,-0.8240581397702441,-0.7349864135085035,10.228184310245966
1.328,0.9405056421360369,-1.0561482552701968,-0.8300590760943211,-0.7391720248339688,10.231516249570642
1.329,0.9396725805022477,-1.0568895124147306,-0.8360650272137876,-0.7433391781840071,10.234867868010697
1.33,0.9388335104103639,-1.0576349274350545,-0.8420759920461339,-0.7474877570110385,10.23823909498638
1.331,0.9379884268474972,-1.0583844816984789,-0.8480919688304571,-0.7516176450250579,10.241629859373889
1.332,0.937137324802859,-1.0591381564561542,-0.8541129551246637,-0.7557287261967577,10.245040089504732
1.333,0.9362801992684459,-1.0598959328433333,-0.8601389478026777,-0.7598208847606562,10.248469713165079
1.334,0.9354170452397222,-1.0606577918796372,-0.8661699430517129,-0.7638940052182602,10.25191865759513
1.335,0.9345478577163117,-1.061423714469322,-0.8722059363695558,-0.7679479723412352,10.25538684948851
1.336,0.9336726317026839,-1.0621936814015533,-0.878246922561917,-0.7719826711746143,10.258874214991664
1.337,0.9327913622088515,-1.062967673350679,-0.8842928957397892,-0.7759979870400082,10.262380679703277
1.338,0.9319040442510637,-1.063745670876508,-0.8903438493168717,-0.7799938055388573,10.265906168673709
1.339,0.9310106728525056,-1.0645276544245927,-0.8963997760070119,-0.7839700125556864,10.269450606404442
1.34,0.9301112430440002,-1.0653136043265126,-0.9024606678216975,-0.7879264942613929,10.273013916847539
1.341,0.9292057498647106,-1.066103500800162,-0.9085265160675831,-0.791863137116549,10.27659602340513
1.342,0.9282941883628468,-1.0668973239500434,-0.9145973113440614,-0.7957798278747318,10.280196848928904
1.343,0.9273765535963746,-1.0676950537675591,-0.9206730435408599,-0.7996764535858617,10.283816315719632
1.344,0.9264528406337246,-1.0684966701313126,-0.9267537018357008,-0.8035529015995794,10.287454345526681
1.345,0.9255230445545078,-1.0693021528074067,-0.9328392746919751,-0.8074090595686262,10.291110859547587
1.346,0.9245871604502298,-1.0701114814497512,-0.9389297498564754,-0.8112448154522554,10.294785778427594
1.347,0.9236451834250083,-1.0709246356003688,-0.9450251143571586,-0.8150600575196598,10.298479022259256
1.348,0.9226971085962931,-1.071741594689709,-0.951125354500961,-0.8188546743534239,10.302190510582042
1.349,0.9217429310955894,-1.0725623380369609,-0.9572304558716321,-0.8226285548529865,10.30592016238194
1.35,0.92078264606918,-1.0733868448503732,-0.9633404033276397,-0.826381588238138,10.309667896091117
1.351,0.9198162486788537,-1.0742150942275766,-0.9694551810000884,-0.8301136640525236,10.313433629587564
1.352,0.9188437341026323,-1.0750470651559083,-0.9755747722906967,-0.8338246721671752,10.317217280194782
1.353,0.9178650975355015,-1.0758827365127412,-0.9816991598698077,-0.8375145027840588,10.321018764681481
1.354,0.9168803341901427,-1.0767220870658187,-0.9878283256744512,-0.8411830464396467,10.324837999261305
1.355,0.9158894392976684,-1.0775650954735878,-0.9939622509064281,-0.844830194008498,10.328674899592558
1.356,0.9148924081083576,-1.0784117402855418,-1.0001009160304655,-0.8484558367068754,10.332529380777974
1.357,0.9138892358923933,-1.0792619999425614,-1.0062443007723871,-0.8520598660963637,10.336401357364501
1.358,0.9128799179406036,-1.0801158527772645,-1.012392384117345,-0.8556421740875199,10.340290743343097
1.359,0.911864449565202,-1.080973277014354,-1.0185451443080837,-0.859202652943535,10.344197452148562
1.36,0.9108428261005308,-1.0818342507709757,-1.0247025588432581,-0.8627411952839227,10.34812139665938
1.361,0.9098150429038079,-1.0826987520570726,-1.030864604475775,-0.866257694088212,10.352062489197582
1.362,0.9087810953558701,-1.0835667587757505,-1.0370312572112095,-0.8697520426996778,10.356020641528662
1.363,0.907740978861924,-1.0844382487236406,-1.04320249230623,-0.8732241348290728,10.359995764861457
1.364,0.9066946888522939,-1.085313199591271,-1.049378284267095,-0.876673864558387,10.363987769848116
1.365,0.9056422207831748,-1.0861915889634386,-1.0555586068481775,-0.8801011263446225,10.367996566584036
1.366,0.9045835701373822,-1.087073394319587,-1.0617434330505464,-0.8835058150235872,10.372022064607867
1.367,0.9035187324251093,-1.0879585930341853,-1.067932735120575,-0.886887825813701,10.376064172901506
1.368,0.90244770318468,-1.0888471623771152,-1.0741264845486167,-0.8902470543198312,10.380122799890136
1.369,0.9013704779833067,-1.0897390795140576,-1.0803246520677063,-0.8935833965371307,10.384197853442288
1.37,0.9002870524178477,-1.0906343215068854,-1.086527207652317,-0.8968967488549036,10.38828924086991
1.371,0.8991974221155669,-1.0915328653140588,-1.092734120517158,-0.9001870080604837,10.392396868928488
1.372,0.8981015827348933,-1.0924346877910276,-1.0989453591160256,-0.9034540713431332,10.396520643817174
1.373,0.8969995299661844,-1.0933397656906312,-1.105160891140683,-0.9066978362979491,10.40066047117894
1.374,0.8958912595324855,-1.0942480756635111,-1.1113806835198097,-0.9099182009297994,10.404816256100775
1.375,0.8947767671902966,-1.0951595942585182,-1.1176047024179756,-0.9131150636572635,10.408987903113868
1.3760000000000001,0.8936560487303349,-1.0960742979231315,-1.123832913234673,-0.9162883233165939,10.413175316193888
1.377,0.8925290999783014,-1.0969921630038766,-1.130065280603392,-0.9194378791656946,10.417378398761207
1.3780000000000001,0.8913959167956466,-1.0979131657467494,-1.1363017683907475,-0.9225636308881141,10.42159705368121
1.379,0.8902564950803389,-1.0988372822976435,-1.1425423396956367,-0.9256654785970476,10.425831183264615
1.3800000000000001,0.8891108307676309,-1.0997644887027829,-1.1487869568484694,-0.9287433228393681,10.430080689267808
1.381,0.8879589198308302,-1.1006947609091569,-1.1550355814104225,-0.9317970645996572,10.434345472893225
1.3820000000000001,0.8868007582820678,-1.101628074764959,-1.1612881741727519,-0.9348266053042603,10.43862543478975
